city,latitude,longitude,timestamp,us_aqi,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
Delhi,28.6139,77.209,2026-08-20T17:30,164,56.0,38.6,871.0,16.7,26.3,189.0
Mumbai,19.076,72.8777,2026-08-20T17:30,58,25.0,13.3,187.0,7.9,5.0,48.0
Bengaluru,12.9716,77.5946,2026-08-20T17:30,50,22.1,12.3,308.0,17.7,3.8,45.0
Chennai,13.0827,80.2707,2026-08-20T17:30,77,43.4,23.6,353.0,6.6,7.0,126.0
Kolkata,22.5726,88.3639,2026-08-20T17:30,79,23.3,21.0,645.0,10.4,9.0,82.0
Hyderabad,17.385,78.4867,2026-08-20T17:30,61,23.3,12.5,273.0,5.9,3.8,83.0
Pune,18.5204,73.8567,2026-08-20T17:30,41,18.2,9.6,139.0,5.0,5.5,59.0
Ahmedabad,23.0225,72.5714,2026-08-20T17:30,65,35.9,18.9,182.0,8.9,4.1,64.0
Bhopal,23.2599,77.4126,2026-08-20T17:30,87,35.5,22.0,276.0,4.6,3.8,75.0
Indore,22.7196,75.8577,2026-08-20T17:30,78,29.8,16.9,237.0,5.2,4.2,79.0
